timestamp,location_id,location_name,vibration_x,vibration_y,vibration_z,strain,tilt,crack_width_mm,health_score,prediction_window,defect_type,scenario,traffic_condition,weather_condition,ambient_temp_c
2025-12-05T06:00:00,BLR_SB_01,"Silk Board Flyover, Bangalore",0.012,0.0091,0.1137,90.9,0.09,0.0,90,None (Safe),None,normal,Moderate,Clear,19.0
2025-12-05T06:02:00,BLR_EC_02,"Ecospace Flyover, Outer Ring Road",0.4841,0.5955,0.6059,746.83,3.348,4.52,48,45-60 days,Early-stage Rebar Corrosion,critical,Heavy Congestion,Misty,16.9
2025-12-05T06:04:00,BLR_EC_02,"Ecospace Flyover, Outer Ring Road",0.1919,0.7692,0.3688,632.46,2.29,3.36,67,45-60 days,Early-stage Rebar Corrosion,critical,Heavy Congestion,Clear,18.8
2025-12-05T06:06:00,BLR_SB_01,"Silk Board Flyover, Bangalore",0.0779,0.0309,0.0873,127.82,0.119,0.0,95,None (Safe),None,normal,Heavy Congestion,Misty,18.9
2025-12-05T06:08:00,BLR_SB_01,"Silk Board Flyover, Bangalore",0.0239,0.0073,0.0426,33.13,-0.222,0.0,100,None (Safe),None,normal,Moderate,Clear,16.2
2025-12-05T06:10:00,BLR_EC_02,"Ecospace Flyover, Outer Ring Road",0.0221,0.075,0.1007,99.19,-0.329,0.0,93,None (Safe),None,normal,Moderate,Clear,17.5
2025-12-05T06:12:00,BLR_HB_04,"Hebbal Flyover, Airport Road Junction",0.0554,0.0183,0.0554,119.88,-0.444,0.0,90,None (Safe),None,normal,Moderate,Partly Cloudy,17.1
2025-12-05T06:14:00,BLR_HB_04,"Hebbal Flyover, Airport Road Junction",0.0755,0.0702,0.0541,105.21,-0.104,0.0,100,None (Safe),None,normal,Moderate,Clear,17.1
2025-12-05T06:16:00,BLR_MYS_03,"Mysore Road Flyover, Nayandahalli",0.0436,0.06,0.07,95.86,-0.138,0.0,92,None (Safe),None,normal,Moderate,Misty,16.6
2025-12-05T06:18:00,BLR_SB_01,"Silk Board Flyover, Bangalore",0.0131,0.0136,0.1053,97.53,-0.115,0.0,99,None (Safe),None,normal,Moderate,Partly Cloudy,19.0
2025-12-05T06:20:00,BLR_ORR_05,"KR Puram Cable Bridge, ORR",0.0755,0.0547,0.026,135.02,0.251,0.0,100,None (Safe),None,normal,Heavy Congestion,Misty,17.0
2025-12-05T06:22:00,BLR_MYS_03,"Mysore Road Flyover, Nayandahalli",0.0764,0.0702,0.0469,85.08,-0.321,0.0,91,None (Safe),None,normal,Moderate,Misty,17.7
2025-12-05T06:24:00,BLR_MYS_03,"Mysore Road Flyover, Nayandahalli",0.0167,0.0305,0.0326,143.95,0.422,0.0,90,None (Safe),None,normal,Heavy Congestion,Misty,19.4
2025-12-05T06:26:00,BLR_HB_04,"Hebbal Flyover, Airport Road Junction",0.0704,0.0667,0.0531,27.53,0.378,0.0,91,None (Safe),None,normal,Moderate,Partly Cloudy,16.1
2025-12-05T06:28:00,BLR_HB_04,"Hebbal Flyover, Airport Road Junction",0.0431,0.0109,0.1024,143.09,-0.335,0.0,98,None (Safe),None,normal,Heavy Congestion,Partly Cloudy,19.3
2025-12-05T06:30:00,BLR_HB_04,"Hebbal Flyover, Airport Road Junction",0.0607,0.0555,0.1098,71.87,0.172,0.0,95,None (Safe),None,normal,Moderate,Partly Cloudy,19.9
2025-12-05T06:32:00,BLR_ORR_05,"KR Puram Cable Bridge, ORR",0.0061,0.0027,0.0875,96.5,-0.493,0.0,100,None (Safe),None,normal,Moderate,Clear,17.8
